name,country,url,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,image_url
Brehze,United States,https://www.hltv.org/stats/players/9136/brehze,"Evil Geniuses,Evil Geniuses,NRG",1164,30296,2781,1.14,1.10,23029,https://img-cdn.hltv.org/playerbodyshot/ZgIAHIK_75UTo9kgY1G-lU.png?ixlib=java-2.1.0&w=400&s=055eab0b6739e3d91bdb450703c682c9
huNter-,Bosnia and Herzegovina,https://www.hltv.org/stats/players/3972/hunter,"G2,Valiance,Binary Dragons",1467,38757,4204,1.16,1.12,30002,https://img-cdn.hltv.org/playerbodyshot/Gt-t5B9h3GI2DMgqbs5t7V.png?ixlib=java-2.1.0&w=400&s=fb8ca1ae044a1e8d3702c9ab2e8af4fe
FREDDyFROG,Sweden,https://www.hltv.org/stats/players/9277/freddyfrog,"Chaos,Red Reserve,Apeks,Apeks,Japaleno,Galaxy Racer",1207,32156,3616,1.18,1.11,23743,
ZOREE,Finland,https://www.hltv.org/stats/players/8576/zoree,"HAVU,iGame.com,SJ",1661,44157,4430,1.16,1.09,31855,https://img-cdn.hltv.org/playerbodyshot/DYVJOqYIRm_i7-piaDzDJN.png?ixlib=java-2.1.0&w=400&s=d5f526e7e94d2073df9607a1c6c94ed6
Calyx,Turkey,https://www.hltv.org/stats/players/8575/calyx,"Space Soldiers,Eternal Fire,DarkPassage",1113,29124,2848,1.16,1.09,21198,https://img-cdn.hltv.org/playerbodyshot/LANeA2WzWdhUHUbsxVsVO6.png?ixlib=java-2.1.0&w=400&s=4bf7d73562ba75ad6d8eba80aae32140
ScreaM,Belgium,https://www.hltv.org/stats/players/7390/scream,"Envy,G2,Titan,VeryGames",1430,37087,3105,1.13,1.09,27501,https://img-cdn.hltv.org/playerbodyshot/N1faCY2NjTEOOAs5swFC-w.png?ixlib=java-2.1.0&w=400&s=aac082a0ad9be15ea1ed2775a869c5be
NiKo,Bosnia and Herzegovina,https://www.hltv.org/stats/players/3741/niko,"G2,FaZe,MOUZ",1630,43336,5547,1.19,1.16,34507,https://img-cdn.hltv.org/playerbodyshot/JDxiCoK-7_ZeBNCLNiSvFX.png?ixlib=java-2.1.0&w=400&s=d3ec14d8bad0ce37f4db73f1a82af92f
allu,Finland,https://www.hltv.org/stats/players/695/allu,"ENCE,NIP,NIP,FaZe",1615,42334,4329,1.16,1.09,31366,https://img-cdn.hltv.org/playerbodyshot/5kX6vHZyET7WnPT9VZeje_.png?ixlib=java-2.1.0&w=400&s=56a5d8dddad10a14e913a4ac9fff2363
GuardiaN,Slovakia,https://www.hltv.org/stats/players/2757/guardian,"Natus Vincere,FaZe",1578,41357,4761,1.18,1.11,30535,https://img-cdn.hltv.org/playerbodyshot/yAqXqbDzYSFWZUNvMhdI07.png?ixlib=java-2.1.0&w=400&s=ad758e9a7138ef56ca6cd71dbccb90c0
NAF,Canada,https://www.hltv.org/stats/players/8520/naf,"Liquid,OpTic",1562,40965,4004,1.16,1.09,29808,https://img-cdn.hltv.org/playerbodyshot/MDAqvdYwLcEdZ6E7qO7HRf.png?ixlib=java-2.1.0&w=400&s=dc7dde86301365f164cc64ac37251461
kennyS,France,https://www.hltv.org/stats/players/7167/kennys,"G2,Envy,Titan",1852,48898,6331,1.21,1.13,37067,https://img-cdn.hltv.org/playerbodyshot/axSL5Ohh0Eew7VWavcPXsH.png?ixlib=java-2.1.0&w=400&s=c2910e9af97003c626b432d892b80d68
GeT_RiGhT,Sweden,https://www.hltv.org/stats/players/39/get-right,"NIP,NIP",1745,45030,4298,1.15,1.09,33271,https://img-cdn.hltv.org/playerbodyshot/tOUnhieNSc0wvyCqMRVoZ1.png?ixlib=java-2.1.0&w=400&s=292eef3d2f09e8d2fb480ab3ea375c29
device,Denmark,https://www.hltv.org/stats/players/7592/device,"Astralis,TSM",1793,46666,7208,1.25,1.16,36293,https://img-cdn.hltv.org/playerbodyshot/e-VpY--MZr_3XFDmj8DBd6.png?ixlib=java-2.1.0&w=400&s=f659f480569596b71f8c7d6fffc27ad7
f0rest,Sweden,https://www.hltv.org/stats/players/29/f0rest,"NIP,NIP,Dignitas",2089,54327,5648,1.16,1.10,40979,https://img-cdn.hltv.org/playerbodyshot/syd1Gs0h76WSpEmdC_OpBD.png?ixlib=java-2.1.0&w=400&s=ebe0a0e8c75fe6495099903713f8e61b
