name,team,maps_played,rounds_played,kd_difference,kd_ratio,rating
stanislaw,Liquid,1338,34605,,0.98,0.96
MAJ3R,Space Soldiers,1050,27515,,0.97,0.96
misutaaa,Vitality,458,12112,,0.95,0.95
ngiN,Space Soldiers,1025,26895,,0.96,0.94
TACO,MIBR,1418,36877,,0.94,0.92
TACO,MIBR,1418,36877,,0.94,0.92
TACO,Liquid,1418,36877,,0.94,0.92
karrigan,FaZe,2024,53070,,0.90,0.91
flowsicK,Liquid,395,10074,,0.86,0.87
advent,ViCi,1101,28312,,0.88,0.87
